,Age,Attrition,Department,DistanceFromHome,EmployeeCount,EmployeeID,Gender,JobLevel,JobRole,MaritalStatus,MonthlyIncome,PercentSalaryHike,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,WorkMeanTime,JobInvolvement,PerformanceRating,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance
18,35,No,Sales,7,1,19,Male,1,Sales Representative,Divorced,24380,16,8,0,10.0,5,7,6,2,0 days 06:55:49.373390557,2,3,2.0,2.0,2.0
19,38,No,Research & Development,8,1,20,Female,1,Manager,Divorced,68700,11,8,1,8.0,5,8,7,7,0 days 09:15:12.590517241,3,3,1.0,1.0,3.0
20,26,No,Research & Development,1,1,21,Male,2,Laboratory Technician,Divorced,104470,18,8,0,6.0,3,6,1,4,0 days 07:33:29.519313304,3,3,3.0,2.0,1.0
21,50,No,Sales,8,1,22,Male,1,Research Scientist,Divorced,96670,23,8,0,28.0,2,10,1,6,0 days 05:58:58.568376068,2,4,1.0,2.0,2.0
22,53,No,Research & Development,11,1,23,Female,2,Research Scientist,Married,21480,11,8,0,21.0,2,5,1,3,0 days 08:21:57.772532188,3,3,3.0,3.0,2.0
23,42,No,Research & Development,4,1,24,Male,1,Manufacturing Director,Married,89260,14,8,0,10.0,4,20,11,6,0 days 06:46:44.374485596,1,3,2.0,3.0,3.0
24,29,No,Research & Development,16,1,25,Male,1,Laboratory Technician,Single,65130,11,8,1,10.0,2,10,0,9,0 days 07:03:45.336206896,3,3,2.0,4.0,2.0
25,55,No,Research & Development,1,1,26,Female,1,Research Scientist,Married,67990,11,8,0,12.0,2,10,0,8,0 days 09:19:23.938016528,3,3,2.0,4.0,3.0
26,26,No,Research & Development,9,1,27,Female,1,Manager,Married,162910,22,8,0,5.0,3,5,3,3,0 days 10:55:52.987500,3,4,1.0,1.0,3.0
27,37,No,Sales,5,1,28,Male,1,Research Scientist,Single,27050,11,8,0,17.0,2,17,5,7,0 days 07:34:20.489451476,3,3,4.0,4.0,3.0
28,44,Yes,Research & Development,1,1,29,Male,2,Research Scientist,Divorced,103330,14,8,1,19.0,2,1,0,0,0 days 10:55:57.344262295,2,3,4.0,3.0,1.0
29,38,No,Sales,2,1,30,Female,1,Manager,Divorced,44480,12,8,0,10.0,3,2,1,2,0 days 06:48:06.129870129,2,3,4.0,4.0,3.0
30,26,Yes,Research & Development,4,1,31,Male,3,Research Scientist,Divorced,68540,11,8,0,5.0,5,3,0,2,0 days 10:04:01.594142259,2,3,1.0,2.0,3.0
31,28,No,Research & Development,7,1,32,Male,1,Human Resources,Single,96370,13,8,0,5.0,6,5,0,2,0 days 06:40:55.395061728,2,3,4.0,4.0,3.0
32,49,No,Research & Development,1,1,33,Female,2,Research Scientist,Single,35910,13,8,0,22.0,2,3,1,2,0 days 10:28:24.442553191,3,3,3.0,1.0,3.0
33,36,No,Sales,5,1,34,Male,3,Sales Executive,Single,54050,14,8,0,10.0,2,8,7,7,0 days 06:09:27.172131147,3,3,3.0,2.0,3.0
34,31,No,Research & Development,9,1,35,Male,1,Sales Executive,Divorced,46840,16,8,1,2.0,4,2,2,2,0 days 06:33:32.614107883,3,3,4.0,2.0,2.0
35,26,Yes,Research & Development,8,1,36,Male,2,Manager,Single,157870,12,8,2,8.0,5,8,7,4,0 days 10:13:41.356223175,3,3,4.0,4.0,3.0
36,37,No,Sales,9,1,37,Male,1,Laboratory Technician,Married,15140,14,8,0,4.0,3,4,1,2,0 days 09:56:29.946502057,3,3,2.0,4.0,2.0
37,42,No,Sales,2,1,38,Male,3,Research Director,Married,29560,13,8,0,23.0,2,20,4,8,0 days 05:57:13.255411255,3,3,3.0,2.0,4.0
38,18,Yes,Research & Development,1,1,39,Male,1,Sales Executive,Single,23350,14,8,2,0.0,3,0,0,0,0 days 06:44:46.495614035,2,3,3.0,3.0,3.0
39,35,No,Sales,20,1,40,Male,1,Laboratory Technician,Married,51540,19,8,0,12.0,2,11,6,9,0 days 07:39:29.225000,2,3,3.0,2.0,2.0
40,36,No,Research & Development,8,1,41,Female,3,Sales Executive,Married,69620,12,8,2,4.0,2,1,0,0,0 days 07:10:31.171428571,2,3,3.0,3.0,3.0
41,51,No,Research & Development,2,1,42,Male,2,Laboratory Technician,Divorced,56750,13,8,0,13.0,2,4,1,2,0 days 07:33:45.317796610,2,3,4.0,2.0,3.0
42,41,No,Research & Development,29,1,43,Male,1,Laboratory Technician,Single,23790,12,8,0,22.0,6,22,0,4,0 days 06:55:26.510288065,3,3,4.0,2.0,3.0
43,18,No,Sales,7,1,44,Male,1,Research Scientist,Single,38120,15,8,0,0.0,3,0,0,0,0 days 06:58:47.265560165,3,3,4.0,3.0,3.0
44,28,No,Research & Development,9,1,45,Male,1,Sales Representative,Single,46480,23,8,2,9.0,2,8,0,7,0 days 07:10:19.844897959,2,4,2.0,1.0,3.0
45,31,No,Research & Development,8,1,46,Male,1,Manufacturing Director,Married,29360,12,8,1,10.0,2,8,7,7,0 days 07:08:35.203319502,3,3,2.0,4.0,2.0
46,39,No,Sales,5,1,47,Female,2,Human Resources,Divorced,21050,20,8,0,19.0,3,18,3,7,0 days 07:36:15.991525423,3,4,3.0,4.0,2.0
47,36,No,Research & Development,5,1,48,Male,1,Sales Executive,Married,85780,21,8,0,11.0,4,9,0,8,0 days 07:47:59.533613445,3,4,2.0,2.0,3.0
48,32,No,Sales,2,1,49,Male,2,Laboratory Technician,Married,27060,21,8,1,13.0,4,13,4,8,0 days 06:56:39.026315789,3,4,4.0,3.0,2.0
49,38,No,Research & Development,5,1,50,Female,3,Research Scientist,Married,63840,19,8,2,19.0,4,10,0,1,0 days 06:52:34.554585152,2,3,1.0,2.0,3.0
50,58,No,Research & Development,2,1,51,Male,2,Manufacturing Director,Divorced,39680,13,8,2,12.0,3,5,1,2,0 days 10:51:02.255144032,2,3,4.0,3.0,3.0
51,31,No,Research & Development,20,1,52,Female,3,Research Scientist,Married,99070,13,8,1,6.0,3,5,0,3,0 days 09:05:14.361344537,2,3,3.0,4.0,3.0
52,31,No,Sales,7,1,53,Male,2,Sales Executive,Married,132250,21,8,1,9.0,2,2,1,0,0 days 06:48:10.783333333,3,4,1.0,1.0,3.0
53,45,No,Research & Development,3,1,54,Female,1,Sales Executive,Divorced,35400,13,8,0,24.0,6,24,9,11,0 days 07:17:06.649789029,3,3,1.0,1.0,3.0
54,31,No,Sales,16,1,55,Female,2,Research Scientist,Divorced,28040,19,8,2,3.0,0,2,2,2,0 days 08:34:32.346938775,3,3,3.0,4.0,1.0
55,33,No,Research & Development,9,1,56,Male,4,Research Director,Married,193920,12,8,1,12.0,3,10,8,8,0 days 06:45:22.815126050,3,3,4.0,2.0,3.0
56,39,No,Sales,1,1,57,Male,1,Sales Executive,Married,196650,22,8,1,21.0,6,21,11,10,0 days 10:56:29.186991869,3,4,3.0,1.0,3.0
57,43,No,Research & Development,7,1,58,Male,4,Research Scientist,Single,24390,15,8,0,9.0,2,8,1,7,0 days 07:39:10.337719298,3,3,3.0,4.0,3.0
58,49,No,Research & Development,1,1,59,Male,3,Manufacturing Director,Single,73140,22,8,0,25.0,2,7,0,7,0 days 09:54:29.098360655,3,4,3.0,3.0,3.0
59,52,Yes,Research & Development,7,1,60,Female,2,Research Scientist,Married,47740,18,8,1,11.0,2,8,7,7,0 days 07:52:21.316666666,3,3,3.0,2.0,2.0
60,27,No,Research & Development,15,1,61,Male,3,Research Scientist,Single,39020,22,8,0,4.0,2,4,1,2,0 days 10:37:43.873469387,3,4,3.0,2.0,2.0
61,32,No,Research & Development,1,1,62,Male,3,Research Scientist,Married,26620,11,8,1,13.0,6,13,11,9,0 days 10:27:08.775000,4,3,3.0,2.0,3.0
62,27,No,Research & Development,13,1,63,Female,4,Research Director,Single,28560,12,8,2,5.0,5,5,0,4,0 days 10:01:33.094827586,4,3,4.0,3.0,3.0
63,31,No,Sales,24,1,64,Male,2,Healthcare Representative,Divorced,10810,11,8,3,13.0,4,7,1,7,0 days 06:34:47.770491803,4,3,4.0,4.0,3.0
64,32,No,Research & Development,7,1,65,Male,2,Healthcare Representative,Single,24720,13,8,0,10.0,2,7,0,7,0 days 07:27:59.079831932,3,3,1.0,4.0,2.0
65,28,Yes,Research & Development,9,1,66,Male,1,Sales Executive,Married,56730,14,8,1,5.0,4,3,2,2,0 days 10:41:02.330645161,2,3,1.0,4.0,2.0
66,30,No,Research & Development,13,1,67,Female,4,Research Director,Married,41970,13,8,0,11.0,3,10,1,9,0 days 06:09:29.781115879,3,3,4.0,4.0,3.0
67,31,No,Research & Development,2,1,68,Female,1,Manager,Married,97130,17,8,0,10.0,5,10,8,9,0 days 06:34:49.122807017,2,3,3.0,3.0,3.0
68,39,No,Research & Development,19,1,69,Female,1,Research Scientist,Married,20620,13,8,0,21.0,4,21,13,3,0 days 06:02:58.965065502,3,3,3.0,4.0,3.0
69,39,Yes,Research & Development,1,1,70,Female,1,Laboratory Technician,Married,42840,17,8,1,12.0,0,1,0,0,0 days 09:55:52.947368421,3,3,4.0,3.0,2.0
70,33,No,Sales,4,1,71,Male,4,Research Scientist,Single,47880,11,8,1,9.0,0,7,0,1,0 days 07:23:27.279835390,3,3,2.0,4.0,2.0
71,47,No,Research & Development,4,1,72,Female,2,Healthcare Representative,Married,59060,23,8,0,21.0,4,3,1,1,0 days 06:28:01.905737704,4,4,4.0,3.0,3.0
72,43,No,Research & Development,14,1,73,Female,5,Research Director,Divorced,38860,17,8,2,9.0,2,9,0,0,0 days 06:16:22,3,3,3.0,3.0,4.0
73,27,No,Research & Development,2,1,74,Male,1,Research Director,Married,168230,17,8,0,6.0,3,5,1,4,0 days 09:16:36.530172413,3,3,3.0,2.0,3.0
74,54,No,Research & Development,1,1,75,Male,2,Research Scientist,Single,29330,12,8,2,20.0,2,4,0,3,0 days 06:04:18.090128755,3,3,4.0,3.0,2.0
75,43,No,Research & Development,7,1,76,Female,2,Manager,Married,65000,23,8,0,10.0,3,1,0,0,0 days 07:11:13.665271966,3,4,3.0,1.0,2.0
76,45,No,Sales,3,1,77,Female,1,Sales Executive,Married,171740,14,8,1,12.0,6,10,9,8,0 days 07:04:15.065843621,3,3,4.0,4.0,3.0
77,40,No,Research & Development,2,1,78,Male,4,Research Scientist,Married,50330,14,8,2,6.0,6,4,0,2,0 days 09:52:16.948275862,3,3,2.0,4.0,2.0
78,29,Yes,Research & Development,29,1,79,Female,1,Research Scientist,Married,23070,13,8,1,7.0,0,7,0,7,0 days 10:25:56.748917748,3,3,2.0,1.0,2.0
79,29,No,Human Resources,8,1,80,Male,3,Sales Representative,Single,25870,22,8,2,4.0,3,3,2,2,0 days 06:52:41.375000,3,4,2.0,4.0,3.0
80,30,No,Research & Development,10,1,81,Male,2,Research Scientist,Divorced,55070,12,8,2,10.0,2,10,1,2,0 days 07:33:23.476394849,2,3,4.0,3.0,3.0
81,27,No,Research & Development,11,1,82,Male,1,Manager,Married,43930,18,8,1,8.0,2,8,0,7,0 days 06:03:17.673469387,2,3,2.0,2.0,3.0
82,37,No,Sales,1,1,83,Male,2,Healthcare Representative,Divorced,133480,14,8,0,8.0,4,6,0,4,0 days 05:58:32.848101265,3,3,4.0,4.0,2.0
83,38,No,Research & Development,28,1,84,Male,1,Laboratory Technician,Divorced,65830,12,8,0,12.0,1,11,2,9,0 days 08:56:46.160493827,3,3,3.0,4.0,3.0
84,31,No,Research & Development,6,1,85,Female,3,Manager,Single,81030,15,8,1,11.0,5,11,4,10,0 days 10:22:57.217573221,3,3,3.0,4.0,3.0
85,29,No,Research & Development,3,1,86,Male,3,Sales Executive,Divorced,39780,11,8,0,7.0,0,7,1,7,0 days 08:21:11.848979591,3,3,4.0,2.0,3.0
86,35,No,Sales,16,1,87,Male,3,Manager,Single,25440,13,8,1,17.0,3,16,0,13,0 days 07:52:41.615384615,4,3,3.0,2.0,3.0
87,23,No,Research & Development,20,1,88,Male,1,Manufacturing Director,Divorced,53990,23,8,0,4.0,2,4,0,2,0 days 07:04:31.575630252,2,4,3.0,4.0,2.0
88,41,No,Research & Development,9,1,89,Female,1,Laboratory Technician,Single,54870,19,8,2,8.0,0,5,1,2,0 days 09:38:53.750000,3,3,4.0,2.0,3.0
89,47,No,Sales,1,1,90,Female,2,Laboratory Technician,Single,68340,16,8,1,5.0,2,0,0,0,0 days 07:44:16.695833333,4,3,2.0,3.0,3.0
90,42,No,Research & Development,3,1,91,Male,1,Manager,Single,10910,22,8,0,16.0,0,1,0,0,0 days 06:15:28.352941176,1,4,1.0,4.0,3.0
91,29,No,Sales,22,1,92,Male,2,Human Resources,Married,57360,22,8,0,4.0,1,4,0,2,0 days 06:16:44.974358974,2,4,4.0,3.0,2.0
92,42,No,Sales,7,1,93,Male,3,Research Scientist,Divorced,22260,12,8,1,4.0,3,3,1,0,0 days 08:47:34.868995633,2,3,3.0,3.0,3.0
93,32,No,Research & Development,2,1,94,Male,2,Research Scientist,Married,57470,13,8,0,8.0,0,8,0,7,0 days 07:41:20.728448275,3,3,3.0,2.0,3.0
94,48,No,Sales,13,1,95,Male,4,Sales Executive,Married,98540,16,8,1,15.0,2,0,0,0,0 days 07:17:10.350427350,2,3,1.0,3.0,1.0
95,37,No,Research & Development,8,1,96,Male,2,Manufacturing Director,Divorced,54670,12,8,0,13.0,2,7,6,7,0 days 10:45:16.995967741,3,3,3.0,1.0,3.0
96,30,No,Sales,25,1,97,Male,1,Healthcare Representative,Married,53800,21,8,1,4.0,0,2,2,2,0 days 10:21:32.695121951,3,4,4.0,3.0,4.0
97,26,No,Sales,28,1,98,Female,5,Laboratory Technician,Married,51510,15,8,3,8.0,3,8,7,7,0 days 05:58:11.135245901,3,3,3.0,3.0,3.0
98,42,No,Sales,2,1,99,Female,1,Laboratory Technician,Single,21330,13,8,2,14.0,2,1,0,0,0 days 06:05:15.500000,3,3,1.0,4.0,3.0
99,21,Yes,Research & Development,9,1,100,Female,4,Manufacturing Director,Single,178750,12,8,0,3.0,5,3,1,2,0 days 08:06:01.367346938,2,3,1.0,2.0,3.0
100,36,No,Human Resources,28,1,101,Male,2,Laboratory Technician,Single,24320,22,8,0,7.0,4,1,0,0,0 days 07:16:29.309012875,1,4,4.0,4.0,3.0
101,36,No,Research & Development,6,1,102,Female,2,Research Scientist,Married,47710,13,8,1,16.0,2,13,1,12,0 days 07:04:31.087866108,3,3,1.0,4.0,3.0
102,57,No,Research & Development,21,1,103,Male,5,Research Scientist,Married,191610,18,8,0,15.0,2,3,1,2,0 days 06:18:03.300847457,1,3,4.0,3.0,3.0
103,40,No,Research & Development,8,1,104,Male,2,Sales Executive,Married,50870,14,8,1,10.0,3,7,1,7,0 days 08:05:37.589743589,3,3,4.0,3.0,3.0
104,21,No,Research & Development,1,1,105,Female,2,Manager,Single,28630,14,8,0,3.0,2,3,2,2,0 days 07:57:06.152173913,1,3,1.0,4.0,2.0
105,33,Yes,Human Resources,28,1,106,Female,5,Manager,Single,55610,21,8,1,1.0,3,1,0,0,0 days 10:27:49.676724137,1,4,4.0,3.0,3.0
106,37,No,Research & Development,5,1,107,Male,4,Research Scientist,Married,21440,19,8,0,17.0,3,5,0,3,0 days 07:57:31.788793103,4,3,3.0,1.0,3.0
107,46,No,Sales,2,1,108,Female,2,Laboratory Technician,Married,30650,11,8,0,7.0,3,1,0,0,0 days 06:04:37.200873362,3,3,3.0,3.0,4.0
108,41,Yes,Research & Development,16,1,109,Female,1,Research Scientist,Single,28100,11,8,0,8.0,3,8,7,7,0 days 07:33:19.735042735,4,3,1.0,2.0,3.0
109,50,No,Research & Development,9,1,110,Female,3,Laboratory Technician,Single,98880,15,8,0,20.0,2,4,1,3,0 days 06:51:37.774891774,3,3,4.0,4.0,3.0
110,40,Yes,Research & Development,8,1,111,Female,1,Healthcare Representative,Married,86280,20,8,0,8.0,2,6,1,0,0 days 09:15:23.191489361,2,4,3.0,3.0,3.0
111,31,No,Research & Development,1,1,112,Male,4,Human Resources,Single,28670,24,8,0,3.0,5,2,2,2,0 days 10:45:44.384615384,3,4,3.0,2.0,3.0
112,21,Yes,Human Resources,10,1,113,Male,1,Laboratory Technician,Single,53730,12,8,1,1.0,2,1,0,0,0 days 05:58:09.359307359,3,3,3.0,2.0,3.0
113,29,No,Research & Development,1,1,114,Female,2,Research Director,Single,66670,12,8,1,6.0,6,3,1,2,0 days 07:45:25.016260162,4,3,4.0,4.0,3.0
114,35,No,Research & Development,29,1,115,Female,3,Sales Executive,Single,50030,15,8,0,10.0,2,1,0,0,0 days 07:41:06.514767932,3,3,3.0,2.0,3.0
115,27,No,Sales,2,1,116,Male,1,Sales Executive,Divorced,23670,12,8,1,5.0,2,5,0,4,0 days 06:09:47.204255319,3,3,4.0,2.0,3.0
116,28,No,Research & Development,2,1,117,Male,3,Manager,Single,28580,12,8,0,7.0,2,7,0,7,0 days 07:05:24.193133047,2,3,2.0,4.0,3.0
117,49,No,Sales,2,1,118,Male,2,Manufacturing Director,Single,52040,14,8,1,26.0,3,5,0,0,0 days 07:47:33.804979253,3,3,2.0,3.0,3.0
118,51,No,Research & Development,1,1,119,Male,1,Sales Executive,Married,41050,22,8,1,18.0,2,7,0,7,0 days 07:35:10.065502183,3,4,3.0,4.0,2.0
119,36,No,Sales,15,1,120,Male,1,Sales Executive,Married,96790,12,8,0,6.0,1,2,2,2,0 days 05:58:36.914893617,3,3,4.0,3.0,3.0
120,34,Yes,Research & Development,7,1,121,Male,1,Sales Representative,Single,56170,25,8,1,9.0,3,5,0,4,0 days 09:04:28.241525423,3,4,1.0,4.0,2.0
121,55,No,Sales,26,1,122,Male,1,Laboratory Technician,Single,104480,13,8,0,30.0,3,5,1,2,0 days 08:38:50.991561181,3,3,3.0,4.0,3.0
122,24,No,Research & Development,1,1,123,Female,5,Manager,Divorced,28970,18,8,3,5.0,4,5,0,3,0 days 09:56:59.536796536,3,3,4.0,3.0,4.0
123,30,No,Research & Development,3,1,124,Female,2,Manager,Married,59680,13,8,0,1.0,3,1,0,0,0 days 06:52:14.866379310,3,3,3.0,2.0,3.0
124,26,Yes,Sales,14,1,125,Male,2,Manager,Single,75100,18,8,3,7.0,3,6,0,4,0 days 06:58:13.132780082,3,3,3.0,3.0,3.0
125,22,No,Research & Development,16,1,126,Male,1,Research Scientist,Married,29910,19,8,2,2.0,3,2,1,2,0 days 06:15:32.883620689,2,3,1.0,2.0,3.0
126,36,No,Research & Development,1,1,127,Female,5,Healthcare Representative,Married,196360,12,8,1,10.0,3,10,9,0,0 days 06:20:21.443037974,3,3,2.0,3.0,3.0
127,30,Yes,Sales,3,1,128,Male,3,Research Scientist,Single,11290,19,8,0,3.0,2,1,0,0,0 days 08:09:27.614107883,2,3,3.0,4.0,3.0
128,37,No,Research & Development,10,1,129,Male,1,Sales Executive,Divorced,133410,14,8,1,18.0,3,18,12,17,0 days 06:25:31.141078838,3,3,4.0,1.0,2.0
129,40,No,Research & Development,6,1,130,Male,3,Research Scientist,Divorced,43320,14,8,2,8.0,3,5,1,3,0 days 06:39:14.601731601,2,3,4.0,2.0,3.0
130,42,No,Research & Development,2,1,131,Female,4,Manager,Divorced,110310,12,8,1,8.0,2,5,1,2,0 days 07:27:03.389830508,2,3,2.0,1.0,3.0
131,37,No,Sales,9,1,132,Male,3,Sales Executive,Single,44400,11,8,1,18.0,3,1,0,1,0 days 09:52:47.300813008,2,3,3.0,2.0,2.0
132,43,No,Sales,10,1,133,Female,1,Sales Executive,Divorced,46170,11,8,0,25.0,2,25,3,9,0 days 07:23:03.177966101,3,3,1.0,2.0,3.0
133,40,No,Sales,6,1,134,Female,1,Laboratory Technician,Married,26470,13,8,0,20.0,2,1,0,0,0 days 07:27:50.317991631,2,3,2.0,3.0,3.0
134,54,No,Human Resources,9,1,135,Female,2,Manufacturing Director,Married,63230,23,8,1,24.0,2,4,1,2,0 days 05:58:21.570175438,2,4,1.0,1.0,2.0
135,34,No,Research & Development,28,1,136,Male,1,Laboratory Technician,Married,56770,20,8,1,6.0,3,3,1,2,0 days 06:49:49.280851063,3,4,3.0,3.0,3.0
136,31,No,Research & Development,10,1,137,Male,3,Sales Executive,Married,21870,15,8,1,13.0,2,13,3,12,0 days 06:06:20.133047210,2,3,2.0,1.0,1.0
137,43,No,Sales,14,1,138,Female,1,Manufacturing Director,Married,37480,14,8,2,10.0,3,3,1,2,0 days 07:38:28.118421052,2,3,4.0,4.0,3.0
138,43,No,Sales,27,1,139,Male,2,Sales Representative,Divorced,39770,18,8,1,8.0,3,5,0,2,0 days 08:50:30.548117154,3,3,3.0,3.0,3.0
139,25,No,Human Resources,7,1,140,Male,1,Manufacturing Director,Single,86330,19,8,1,5.0,2,5,1,3,0 days 10:50:56.695278969,4,3,2.0,4.0,3.0
140,37,No,Research & Development,1,1,141,Male,3,Laboratory Technician,Married,20080,22,8,0,15.0,5,13,10,7,0 days 10:38:46.713675213,2,4,2.0,3.0,3.0
141,31,No,Research & Development,24,1,142,Male,3,Laboratory Technician,Married,44400,13,8,1,4.0,2,4,3,2,0 days 07:01:48.051502145,3,3,4.0,1.0,3.0
142,39,No,Research & Development,26,1,143,Female,1,Sales Executive,Divorced,30670,20,8,1,21.0,5,21,1,6,0 days 08:58:21.203252032,1,4,2.0,3.0,3.0
143,56,No,Research & Development,20,1,144,Female,3,Sales Executive,Married,53210,14,8,0,36.0,1,7,7,7,0 days 07:23:22.304166666,3,3,3.0,1.0,2.0
144,30,No,Sales,5,1,145,Female,2,Manufacturing Director,Single,54100,17,8,1,6.0,2,5,4,4,0 days 07:33:18.491869918,3,3,2.0,3.0,3.0
145,41,No,Research & Development,7,1,146,Female,3,Research Scientist,Married,27820,14,8,0,10.0,2,10,0,7,0 days 06:35:48.351239669,2,3,2.0,1.0,3.0
146,28,No,Research & Development,7,1,147,Male,3,Healthcare Representative,Divorced,119570,13,8,0,10.0,2,10,1,8,0 days 06:09:59.886075949,2,3,3.0,1.0,3.0
147,25,Yes,Research & Development,5,1,148,Female,3,Laboratory Technician,Married,26600,13,8,0,6.0,3,2,0,2,0 days 06:26:41.978902953,3,3,1.0,1.0,3.0
148,52,No,Research & Development,26,1,149,Female,2,Sales Representative,Married,33750,21,8,0,28.0,2,5,0,4,0 days 08:09:41.274590163,2,4,4.0,3.0,3.0
149,45,No,Research & Development,2,1,150,Female,1,Sales Executive,Married,50980,14,8,1,8.0,4,2,0,2,0 days 06:45:33.033613445,3,3,1.0,4.0,2.0
150,52,No,Research & Development,12,1,151,Male,2,Research Scientist,Married,48780,11,8,1,31.0,3,5,1,4,0 days 07:16:16.313559322,3,3,4.0,4.0,1.0
151,42,No,Sales,10,1,152,Female,2,Healthcare Representative,Divorced,28370,13,8,1,19.0,0,5,0,2,0 days 06:47:35.705128205,2,3,1.0,3.0,3.0
152,30,No,Sales,25,1,153,Male,1,Sales Executive,Single,24060,20,8,1,11.0,5,5,0,2,0 days 07:17:26.735930735,3,4,3.0,4.0,3.0
153,60,No,Research & Development,10,1,154,Female,1,Manufacturing Director,Married,22690,18,8,1,33.0,4,29,11,10,0 days 06:08:16.459227467,3,3,1.0,1.0,1.0
154,46,No,Sales,19,1,155,Female,1,Sales Executive,Divorced,41080,14,8,0,19.0,5,10,0,8,0 days 07:34:41.911764705,2,3,3.0,3.0,2.0
155,42,No,Research & Development,18,1,156,Male,4,Sales Executive,Married,132060,13,8,2,7.0,2,6,0,4,0 days 06:34:03.146443514,3,3,4.0,4.0,4.0
156,24,Yes,Research & Development,27,1,157,Male,1,Research Scientist,Single,104220,17,8,1,6.0,0,5,1,4,0 days 10:36:14.375527426,2,3,1.0,2.0,3.0
157,34,Yes,Research & Development,5,1,158,Male,2,Research Scientist,Divorced,137440,20,8,1,3.0,3,2,1,0,0 days 06:10:37.973684210,3,4,4.0,3.0,2.0
158,38,No,Sales,3,1,159,Female,2,Sales Executive,Married,49070,11,8,1,1.0,3,1,0,0,0 days 08:33:20.886554621,3,3,4.0,4.0,3.0
159,40,No,Sales,26,1,160,Female,1,Sales Executive,Married,34820,18,8,1,21.0,2,20,1,12,0 days 05:58:31.346320346,2,3,3.0,3.0,3.0
160,26,No,Research & Development,3,1,161,Female,4,Healthcare Representative,Divorced,24360,24,8,0,3.0,2,3,0,2,0 days 06:15:15.118421052,4,4,1.0,4.0,1.0
